ID,stateProvince,Bolivia,Brazil,Colombia,Ecuador,French.Guyana,Guyana,Panama,Peru,Suriname,Venezuela
CT_1,Tolima,0,0,1,0,0,0,0,0,0,0
CT_2,Santander,0,0,1,0,0,0,0,0,0,0
CT_3,Santander,0,0,1,0,0,0,0,0,0,0
CT_4,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_5,Bolívar,0,0,1,0,0,0,0,0,0,0
CT_6,Valle del Cauca,0,0,1,0,0,0,0,0,0,0
CT_7,Valle del Cauca,0,0,1,0,0,0,0,0,0,0
CT_8,Valle del Cauca,0,0,1,0,0,0,0,0,0,0
CT_9,Valle del Cauca,0,0,1,0,0,0,0,0,0,0
CT_10,Valle del Cauca,0,0,1,0,0,0,0,0,0,0
CT_11,Valle del Cauca,0,0,1,0,0,0,0,0,0,0
CT_12,Antioquia,0,0,1,0,0,0,0,0,0,0
CT_13,Antioquia,0,0,1,0,0,0,0,0,0,0
CT_14,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_15,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_16,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_17,Risaralda,0,0,1,0,0,0,0,0,0,0
CT_18,Santander,0,0,1,0,0,0,0,0,0,0
CT_19,Antioquia,0,0,1,0,0,0,0,0,0,0
CT_20,Antioquia,0,0,1,0,0,0,0,0,0,0
CT_21,Valle del Cauca,0,0,1,0,0,0,0,0,0,0
CT_22,Falcón,0,0,0,0,0,0,0,0,0,1
CT_23,Antioquia,0,0,1,0,0,0,0,0,0,0
CT_24,Risaralda,0,0,1,0,0,0,0,0,0,0
CT_25,Risaralda,0,0,1,0,0,0,0,0,0,0
CT_26,Pará,0,1,0,0,0,0,0,0,0,0
CT_27,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_28,Santander,0,0,1,0,0,0,0,0,0,0
CT_29,La Guajira,0,0,1,0,0,0,0,0,0,0
CT_30,Bolívar,0,0,1,0,0,0,0,0,0,0
CT_31,Risaralda,0,0,1,0,0,0,0,0,0,0
CT_32,La Guajira,0,0,1,0,0,0,0,0,0,0
CT_33,Córdoba,0,0,1,0,0,0,0,0,0,0
CT_34,Córdoba,0,0,1,0,0,0,0,0,0,0
CT_35,La Guajira,0,0,1,0,0,0,0,0,0,0
CT_36,Córdoba,0,0,1,0,0,0,0,0,0,0
CT_37,La Guajira,0,0,1,0,0,0,0,0,0,0
CT_38,La Guajira,0,0,1,0,0,0,0,0,0,0
CT_39,La Guajira,0,0,1,0,0,0,0,0,0,0
CT_40,Santander,0,0,1,0,0,0,0,0,0,0
CT_41,Caldas,0,0,1,0,0,0,0,0,0,0
CT_42,Caldas,0,0,1,0,0,0,0,0,0,0
CT_43,Bolívar,0,0,1,0,0,0,0,0,0,0
CT_44,Vichada,0,0,1,0,0,0,0,0,0,0
CT_45,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_46,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_47,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_48,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_49,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_50,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_51,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_52,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_53,Cundinamarca,0,0,1,0,0,0,0,0,0,0
CT_54,Falcón,0,0,0,0,0,0,0,0,0,1
CT_55,Antioquia,0,0,1,0,0,0,0,0,0,0
CT_56,Santander,0,0,1,0,0,0,0,0,0,0
CT_57,Santander,0,0,1,0,0,0,0,0,0,0
