ID,class,species,year,latitude,longitude,basisOfRecord,taxonKey,count
CT_1,Mammalia,Cerdocyon thous,2021,4.38056,-75.133284,HUMAN_OBSERVATION,2434584,1
CT_2,Mammalia,Cerdocyon thous,2021,6.825142,-73.71485,HUMAN_OBSERVATION,2434584,2
CT_3,Mammalia,Cerdocyon thous,2021,6.733702,-73.864632,HUMAN_OBSERVATION,2434584,1
CT_4,Mammalia,Cerdocyon thous,2021,4.71803,-74.025003,HUMAN_OBSERVATION,2434584,1
CT_5,Mammalia,Cerdocyon thous,2021,9.865697,-75.160706,HUMAN_OBSERVATION,2434584,1
CT_6,Mammalia,Cerdocyon thous,2021,3.739278,-176.661417,HUMAN_OBSERVATION,2434584,2
CT_7,Mammalia,Cerdocyon thous,2021,3.751,-76.673611,HUMAN_OBSERVATION,2434584,1
CT_8,Mammalia,Cerdocyon thous,2021,3.748167,-76.67925,HUMAN_OBSERVATION,2434584,1
CT_9,Mammalia,Cerdocyon thous,2021,3.739,-76.662417,HUMAN_OBSERVATION,2434584,1
CT_10,Mammalia,Cerdocyon thous,2021,3.748167,-76.67925,HUMAN_OBSERVATION,2434584,2
CT_11,Mammalia,Cerdocyon thous,2021,3.748167,-76.67925,HUMAN_OBSERVATION,2434584,1
CT_12,Mammalia,Cerdocyon thous,2021,5.877324,-75.735537,HUMAN_OBSERVATION,2434584,2
CT_13,Mammalia,Cerdocyon thous,2021,6.198252,-75.547199,HUMAN_OBSERVATION,2434584,2
CT_14,Mammalia,Cerdocyon thous,2021,4.665498,-73.99011,HUMAN_OBSERVATION,2434584,2
CT_15,Mammalia,Cerdocyon thous,2021,4.665498,-73.99011,HUMAN_OBSERVATION,2434584,2
CT_16,Mammalia,Cerdocyon thous,2021,4.665498,-73.99011,HUMAN_OBSERVATION,2434584,1
CT_17,Mammalia,Cerdocyon thous,2021,4.801452,-75.779789,HUMAN_OBSERVATION,2434584,2
CT_18,Mammalia,Cerdocyon thous,2021,6.824911,-73.713025,HUMAN_OBSERVATION,2434584,1
CT_19,Mammalia,Cerdocyon thous,2021,5.87752,-75.732272,HUMAN_OBSERVATION,2434584,2
CT_20,Mammalia,Cerdocyon thous,2021,6.775537,-75.364132,HUMAN_OBSERVATION,2434584,2
CT_21,Mammalia,Cerdocyon thous,2021,3.494531,-76.527316,HUMAN_OBSERVATION,2434584,2
CT_22,Mammalia,Cerdocyon thous,2021,12.10316,-69.955617,HUMAN_OBSERVATION,2434584,2
CT_23,Mammalia,Cerdocyon thous,2021,6.343202,-75.532635,HUMAN_OBSERVATION,2434584,1
CT_24,Mammalia,Cerdocyon thous,2021,4.843859,-75.818724,HUMAN_OBSERVATION,2434584,1
CT_25,Mammalia,Cerdocyon thous,2021,4.801431,-75.780366,HUMAN_OBSERVATION,2434584,1
CT_26,Mammalia,Cerdocyon thous,2021,-6.06984,-50.070049,HUMAN_OBSERVATION,2434584,1
CT_27,Mammalia,Cerdocyon thous,2021,4.610707,-74.367381,HUMAN_OBSERVATION,2434584,1
CT_28,Mammalia,Cerdocyon thous,2021,6.842557,-73.718419,HUMAN_OBSERVATION,2434584,1
CT_29,Mammalia,Cerdocyon thous,2021,11.086898,-72.565,HUMAN_OBSERVATION,2434584,2
CT_30,Mammalia,Cerdocyon thous,2021,10.565644,-75.452827,HUMAN_OBSERVATION,2434584,2
CT_31,Mammalia,Cerdocyon thous,2021,5.22997,-76.084192,HUMAN_OBSERVATION,2434584,2
CT_32,Mammalia,Cerdocyon thous,2021,11.108903,-72.654883,HUMAN_OBSERVATION,2434584,1
CT_33,Mammalia,Cerdocyon thous,2021,7.923162,-75.549308,HUMAN_OBSERVATION,2434584,2
CT_34,Mammalia,Cerdocyon thous,2021,7.93262,-75.54708,HUMAN_OBSERVATION,2434584,2
CT_35,Mammalia,Cerdocyon thous,2021,11.122503,-72.646187,HUMAN_OBSERVATION,2434584,1
CT_36,Mammalia,Cerdocyon thous,2021,7.914894,-75.546992,HUMAN_OBSERVATION,2434584,2
CT_37,Mammalia,Cerdocyon thous,2021,11.144552,-72.619484,HUMAN_OBSERVATION,2434584,1
CT_38,Mammalia,Cerdocyon thous,2021,11.144205,-72.619026,HUMAN_OBSERVATION,2434584,1
CT_39,Mammalia,Cerdocyon thous,2021,11.142408,-72.618276,HUMAN_OBSERVATION,2434584,2
CT_40,Mammalia,Cerdocyon thous,2020,6.85683,-73.72903,HUMAN_OBSERVATION,2434584,2
CT_41,Mammalia,Cerdocyon thous,2020,5.047948,-75.725608,PRESERVED_SPECIMEN,2434584,2
CT_42,Mammalia,Cerdocyon thous,2020,5.026464,-75.369053,PRESERVED_SPECIMEN,2434584,1
CT_43,Mammalia,Cerdocyon thous,2020,9.9431,-75.135117,MACHINE_OBSERVATION,2434584,1
CT_44,Mammalia,Cerdocyon thous,2020,6.08486,-67.73356,MACHINE_OBSERVATION,2434584,1
CT_45,Mammalia,Cerdocyon thous,2020,4.718986,-73.225204,MATERIAL_SAMPLE,2434584,2
CT_46,Mammalia,Cerdocyon thous,2020,4.719456,-73.225082,MATERIAL_SAMPLE,2434584,1
CT_47,Mammalia,Cerdocyon thous,2020,4.699566,-73.310821,MATERIAL_SAMPLE,2434584,2
CT_48,Mammalia,Cerdocyon thous,2020,4.672478,-73.278663,HUMAN_OBSERVATION,2434584,2
CT_49,Mammalia,Cerdocyon thous,2020,4.703203,-73.316253,HUMAN_OBSERVATION,2434584,1
CT_50,Mammalia,Cerdocyon thous,2020,4.698651,-73.316505,MATERIAL_SAMPLE,2434584,2
CT_51,Mammalia,Cerdocyon thous,2020,4.703968,-73.317581,HUMAN_OBSERVATION,2434584,1
CT_52,Mammalia,Cerdocyon thous,2020,4.705569,-73.316452,HUMAN_OBSERVATION,2434584,2
