scientificName,species,order,NAME_0,NAME_1,TYPE_1,ENGTYPE_1,DEP_ID,year,basisOfRecord,elevation,regbio,longitude,latitude,region
"Choeroniscus minor (Peters, 1868)",Choeroniscus minor,Chiroptera,Colombia,Valle del Cauca,Departamento,Department,COL_30,2011,Especimen,NA,0,-78.173433,2.966725,2
"Eptesicus chiriquinus Thomas, 1920",Eptesicus chiriquinus,Chiroptera,Colombia,Valle del Cauca,Departamento,Department,COL_30,2010,Especimen,NA,0,-78.173433,2.966725,2
"Mimon crenulatum (E.Geoffroy, 1803)",Gardnerycteris crenulatum,Chiroptera,Colombia,Valle del Cauca,Departamento,Department,COL_30,2011,Especimen,185,0,-78.18445,2.965839,2
"Tonatia saurophila Koopman & Williams, 1951",Tonatia saurophila,Chiroptera,Colombia,Valle del Cauca,Departamento,Department,COL_30,2011,Especimen,NA,0,-78.173433,2.966725,2
"Cebus capucinus (Linnaeus, 1758)",Cebus capucinus,Primates,Colombia,Valle del Cauca,Departamento,Department,COL_30,2011,Especimen,78,0,-78.19615,2.942342,2
"Proechimys quadruplicatus Hershkovitz, 1948",Proechimys quadruplicatus,Rodentia,Colombia,Valle del Cauca,Departamento,Department,COL_30,1988,Especimen,185,0,-78.19102,2.96446,2
"Proechimys semispinosus (Tomes, 1860)",Proechimys semispinosus,Rodentia,Colombia,Valle del Cauca,Departamento,Department,COL_30,2010,Especimen,156,0,-78.176694,2.970778,2
"Conepatus semistriatus (Boddaert, 1785)",Conepatus semistriatus,Carnivora,Colombia,La Guajira,Departamento,Department,COL_18,2018,Especimen,25,1,-72.266951,11.715539,4
"Molossus molossus (Pallas, 1766)",Molossus molossus,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,1969,Especimen,33,1,-71.283333,12.183333,4
"Pteronotus personatus (Wagner, 1843)",Pteronotus personatus,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,1968,Especimen,33,1,-71.283333,12.183333,4
"Rhogeessa minutilla Miller, 1897",Rhogeessa minutilla,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,1968,Especimen,23,1,-71.92,11.68,4
"Marmosa xerophila Handley & Gordon, 1979",Marmosa xerophila,Didelphimorphia,Colombia,La Guajira,Departamento,Department,COL_18,1968,Especimen,23,1,-71.92,11.68,4
Mazama gouazoubira G.Fischer,Mazama murelia,Artiodactyla,Colombia,La Guajira,Departamento,Department,COL_18,1898,Especimen,2,2,-73.309107,11.272506,4
"Tayassu tajacu (Linnaeus, 1758)",Pecari tajacu,Artiodactyla,Colombia,La Guajira,Departamento,Department,COL_18,1898,Especimen,2,2,-73.309107,11.272506,4
"Cerdocyon thous (Linnaeus, 1766)",Cerdocyon thous,Carnivora,Colombia,La Guajira,Departamento,Department,COL_18,2015,Fotografia,68,2,-73.440639,11.2165,4
"Felis onca Linnaeus, 1758",Panthera onca,Carnivora,Colombia,La Guajira,Departamento,Department,COL_18,1898,Especimen,2,2,-73.309107,11.272506,4
"Carollia brevicauda (Schinz, 1821)",Carollia brevicauda,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,2011,Especimen,4,2,-73.219722,11.325,4
"Carollia castanea H.Allen, 1890",Carollia castanea,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,NA,Especimen,10,2,-73.425589,11.255903,4
"Glossophaga longirostris Miller, 1898",Glossophaga longirostris,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,2011,Especimen,4,2,-73.219722,11.325,4
"Lichonycteris obscura Thomas, 1895",Lichonycteris obscura,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1980,Especimen,0,2,-73.9326,11.3093,4
"Lophostoma silvicolum d'Orbigny, 1836",Lophostoma silvicolum,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1979,Especimen,0,2,-73.9326,11.3093,4
"Molossus currentium Thomas, 1901",Molossus bondae,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,2011,Especimen,4,2,-73.219722,11.325,4
"Molossus bondae J.A.Allen, 1904",Molossus bondae,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1980,Especimen,0,2,-73.9326,11.3093,4
"Rhynchonycteris naso (Wied-Neuwied, 1820)",Rhynchonycteris naso,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,NA,Especimen,10,2,-73.425589,11.255903,4
"Sphaeronycteris toxophyllum Peters, 1882",Sphaeronycteris toxophyllum,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1979,Especimen,0,2,-73.9326,11.3093,4
"Thyroptera tricolor Spix, 1823",Thyroptera tricolor,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1979,Especimen,0,2,-73.9326,11.3093,4
"Trachops cirrhosus (Spix, 1823)",Trachops cirrhosus,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,NA,Especimen,10,2,-73.425589,11.255903,4
"Uroderma magnirostrum Davis, 1968",Uroderma magnirostrum,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,2011,Especimen,4,2,-73.219722,11.325,4
"Uroderma magnirostrum Davis, 1968",Uroderma magnirostrum,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1979,Especimen,0,2,-73.9326,11.3093,4
"Dasypus novemcinctus Linnaeus, 1758",Dasypus novemcinctus,Cingulata,Colombia,Magdalena,Departamento,Department,COL_19,2016,Fotografia,56,2,-73.934722,11.304528,4
"Tapirus terrestris (Linnaeus, 1758)",Tapirus terrestris,Perissodactyla,Colombia,La Guajira,Departamento,Department,COL_18,1899,Especimen,2,2,-73.308935,11.272211,4
"Sciurus granatensis Humboldt, 1811",Notosciurus granatensis,Rodentia,Colombia,Magdalena,Departamento,Department,COL_19,1971,Especimen,21,2,-73.9292,11.3012,4
"Mimon crenulatum (E.Geoffroy, 1803)",Gardnerycteris crenulatum,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1978,Especimen,17,3,-74.2959,10.6253,4
"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,Artiodactyla,Colombia,Magdalena,Departamento,Department,COL_19,1899,Especimen,12,4,-73.9,11.3,4
"Tayassu pecari (Link, 1795)",Tayassu pecari,Artiodactyla,Colombia,Magdalena,Departamento,Department,COL_19,1899,Especimen,12,4,-73.9,11.3,4
"Cerdocyon thous (Linnaeus, 1766)",Cerdocyon thous,Carnivora,Colombia,Cesar,Departamento,Department,COL_12,2009,Especimen,232,4,-73.22449,10.60774,4
"Leopardus pardalis (Linnaeus, 1758)",Leopardus pardalis,Carnivora,Colombia,Magdalena,Departamento,Department,COL_19,2008,Especimen,687,4,-74.05,11.3,4
"Puma concolor (Linnaeus, 1771)",Puma concolor,Carnivora,Colombia,Magdalena,Departamento,Department,COL_19,2016,Fotografia,172,4,-73.968722,11.323722,4
"Artibeus amplus Handley, 1987",Artibeus amplus,Chiroptera,Colombia,Magdalena,Departamento,Department,COL_19,1980,Especimen,172,4,-73.9693,11.3172,4
"Artibeus jamaicensis Leach, 1821",Artibeus jamaicensis,Chiroptera,Colombia,La Guajira,Departamento,Department,COL_18,2011,Especimen,340,4,-72.904444,11.088611,4
